timestamp,price
2024-06-20 00:00:00,64907.07460760319
2024-06-21 00:00:00,64844.67441797763
2024-06-22 00:00:00,64071.624284709695
2024-06-23 00:00:00,64239.90348813148
2024-06-24 00:00:00,63221.35738437477
2024-06-25 00:00:00,60363.23497529626
2024-06-26 00:00:00,61770.413870095355
2024-06-27 00:00:00,60749.89619402014
2024-06-28 00:00:00,61562.64532550036
2024-06-29 00:00:00,60317.09697945116
2024-06-30 00:00:00,60864.44316193428
2024-07-01 00:00:00,62734.39383945474
2024-07-02 00:00:00,62819.82226921849
2024-07-03 00:00:00,62042.5650371006
2024-07-04 00:00:00,60244.68076433092
2024-07-05 00:00:00,57189.17412408636
2024-07-06 00:00:00,56739.86285107204
2024-07-07 00:00:00,58230.4841542266
2024-07-08 00:00:00,55880.3753776708
2024-07-09 00:00:00,56665.140733520275
2024-07-10 00:00:00,57988.30351208401
2024-07-11 00:00:00,57704.202284462874
2024-07-12 00:00:00,57388.192479166675
2024-07-13 00:00:00,57899.28895749592
2024-07-14 00:00:00,59152.71913887286
2024-07-15 00:00:00,60942.32773996293
2024-07-16 00:00:00,64835.48973321571
2024-07-17 00:00:00,65162.23625234354
2024-07-18 00:00:00,64136.31384360687
2024-07-19 00:00:00,63959.56900809379
2024-07-19 16:51:49,66300.90976187392
